external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
network_stress,8,43,online_counter_guard_deadline_aware_sparse_flexible,45.500099993660086,32.8260530285879,33.48997500143006,33.48997500143006,0.24215646704930846,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,53,original_sfcl_static,61.60591250227295,43.65051413414505,48.59852499794205,48.59852499794205,0.20840222013724902,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,53,rltune_style_selector,64.07213746570046,41.833696678973055,51.54351252713232,51.54351252713232,0.2303247973960871,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,53,sailor_style_heterogeneity_aware,62.339337498997295,39.50273912904332,47.925374994519984,47.925374994519984,0.23424431227510686,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,53,guarded_system_portfolio,52.66802501864725,39.312131681002626,41.79926252982102,41.79926252982102,0.2068944754478714,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,53,online_counter_guard_deadline_aware_sparse_flexible,57.21728752541817,44.28302119479145,45.6611750414594,45.6611750414594,0.21662652780617553,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,7,original_sfcl_static,53.932287497445884,37.36269928329264,37.5668750057229,37.5668750057229,0.2990077776530503,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,7,rltune_style_selector,52.83223751757755,33.97097598512038,38.871925018611265,38.871925018611265,0.2717632681830311,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,7,sailor_style_heterogeneity_aware,53.5163250024197,36.12764336101926,44.98382497695266,44.98382497695266,0.17850774157005447,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,7,guarded_system_portfolio,49.40548750164449,34.67176408984725,36.795137522858475,36.795137522858475,0.24569850474727772,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,7,online_counter_guard_deadline_aware_sparse_flexible,44.52740000851912,33.963831045969386,31.6057500167516,31.6057500167516,0.2625647542486613,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
